Site,Produt,SerialNumber,Special Build Name,Special Build Description,Unit Number,Station ID,Test Pass/Fail Status,StartTime,EndTime,Version,List of Failing Tests,FW_Version,Covarage_Ver,Flow_Ver,Execute_Failure,UNIT_OUT_OF_PROCESS,TestTime,NEP_PASS,BT_TX-2402-1DH5-19_FreqErr,BT_TX-2440-1DH5-19_FreqErr,BT_TX-2480-1DH5-19_FreqErr,BT_TX-2402-2DH5-19_FreqErr,BT_TX-2440-2DH5-19_FreqErr,BT_TX-2480-2DH5-19_FreqErr,BT_TX-2402-3DH5-19_FreqErr,BT_TX-2440-3DH5-19_FreqErr,BT_TX-2480-3DH5-19_FreqErr,BT_TX-2402-1LE-20_FreqErr,BT_TX-2440-1LE-20_FreqErr,BT_TX-2480-1LE-20_FreqErr,BT_TX-2402-2LE-20_FreqErr,BT_TX-2440-2LE-20_FreqErr,BT_TX-2480-2LE-20_FreqErr
Upper Limit ----->,,,,,,,,,,,,,,,,,,,75,75,75,150,150,150,150,150,150,150,150,150,150,150,150
Lower Limit ----->,,,,,,,,,,,,,,,,,,,-75,-75,-75,-150,-150,-150,-150,-150,-150,-150,-150,-150,-150,-150,-150
Measurement Unit ----->,,,,,,,,,,,,,,,,,,,kHz,kHz,kHz,kHz,kHz,kHz,kHz,kHz,kHz,kHz,kHz,kHz,kHz,kHz,kHz
ITJS,T11,KYW25CD00360006Z,Pre_Proto_1,T01a-Awa,,ITJS-D24F-SMT01-CWB-01,Pass,12/17/2025 4:36:01 PM,12/17/2025 4:38:32 PM,V1.0.3.7,,,V0.0.0,V0.0.0,,,,,-17.6,-14.88,-12.58,-7.75,-11.47,-11.86,-7.11,-10.51,-12.31,-9.44,-9.21,-8.58,-11.7,-8.86,-7.49
ITJS,T11,KYW25CD00360006V,Pre_Proto_1,T01a-Awa,,ITJS-D24F-SMT01-CWB-02,Pass,12/17/2025 4:40:05 PM,12/17/2025 4:42:45 PM,V1.0.3.7,,,V0.0.0,V0.0.0,,,,,-17.75,-15.04,-12.17,-8.22,-10.5,-11.66,-8.09,-11.77,-13,-9.81,-9.93,-9.06,-11.67,-9.3,-8.12
ITJS,T11,KYW25CD00360006W,Pre_Proto_1,T01a-Awa,,ITJS-D24F-SMT01-CWB-03,Pass,12/17/2025 4:47:39 PM,12/17/2025 4:50:08 PM,V1.0.3.7,,,V0.0.0,V0.0.0,,,,,-25.58,-27.69,-21.58,-15.51,-20.03,-21.31,-15.18,-19.6,-21.04,-17.31,-17.8,-16.83,-19.47,-17.25,-16.67
ITJS,T11,KYW25CD00360006X,Pre_Proto_1,T02a-Awa,,ITJS-D24F-SMT01-CWB-04,Pass,12/17/2025 5:01:18 PM,12/17/2025 5:03:50 PM,V1.0.3.7,,,V0.0.0,V0.0.0,,,,,-24.96,-21.56,-20.46,-14.63,-19.33,-20.42,-14.81,-20.42,-21.59,-18.55,-17.19,-16.08,-19.02,-16.32,-15.87
ITJS,T11,KYW25CD00360006Y,Pre_Proto_1,T01a-Awa,,ITJS-D24F-SMT01-CWB-05,Fail,12/17/2025 7:03:59 PM,12/17/2025 7:06:27 PM,V1.0.3.7,WIFI_RX-2412-HT20_MCS7--70,,V0.0.0,V0.0.0,,,,,-23.38,-23.46,-19.81,-13.96,-17.58,-19.73,-12.46,-17.87,-18.9,-16.77,-15.41,-14.46,-17,-15.12,-14.55
ITJS,T11,KYW25CD00360006Y,Pre_Proto_1,T01a-Awa,,ITJS-D24F-SMT01-CWB-06,Fail,12/17/2025 7:10:08 PM,12/17/2025 7:12:38 PM,V1.0.3.7,WIFI_RX-2412-HT20_MCS7--70,,V0.0.0,V0.0.0,,,,,-22.81,-25.12,-20.28,-13.88,-17.08,-18.92,-12.9,-16.46,-19.39,-17.04,-15.45,-14.94,-16.97,-15.53,-14.58
ITJS,T11,KYW25CD00360006Y,Pre_Proto_1,T01a-Awa,,ITJS-D24F-SMT01-CWB-01,Pass,12/17/2025 7:14:07 PM,12/17/2025 7:16:37 PM,V1.0.3.7,,,V0.0.0,V0.0.0,,,,,-24.06,-24.11,-19.96,-13.64,-19.61,-19.12,-13.04,-17.85,-20.23,-17.94,-16.15,-15.32,-17.78,-15.27,-15.75
ITJS,T11,KYW25CD00360006A,Pre_Proto_1,T01a-Awa,,ITJS-D24F-SMT01-CWB-02,Fail,12/17/2025 8:09:25 PM,12/17/2025 8:20:47 PM,V1.0.3.7,WIFI_TX-2412-OFDM-54M-14,,V0.0.0,V0.0.0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ITJS,T11,KYW25CD00360006A,Pre_Proto_1,T01a-Awa,,ITJS-D24F-SMT01-CWB-03,Pass,12/17/2025 8:26:51 PM,12/17/2025 8:29:20 PM,V1.0.3.7,,,V0.0.0,V0.0.0,,,,,-21.39,-17.35,-15.13,-9.44,-13.28,-15.44,-9.71,-13.4,-14.62,-11.89,-12.04,-11.21,-11.73,-11.4,-9.94
