Site,Produt,SerialNumber,Special Build Name,Special Build Description,Unit Number,Station ID,Test Pass/Fail Status,StartTime,EndTime,Version,List of Failing Tests,FW_Version,Covarage_Ver,Flow_Ver,Execute_Failure,UNIT_OUT_OF_PROCESS,TestTime,NEP_PASS,BT_TX-2402-1DH5-19_Power,BT_TX-2440-1DH5-19_Power,BT_TX-2480-1DH5-19_Power,BT_TX-2402-2DH5-19_Power,BT_TX-2402-2DH5-19_DIFFPOWER,BT_TX-2440-2DH5-19_Power,BT_TX-2440-2DH5-19_DIFFPOWER,BT_TX-2480-2DH5-19_Power,BT_TX-2480-2DH5-19_DIFFPOWER,BT_TX-2402-3DH5-19_Power,BT_TX-2402-3DH5-19_DIFFPOWER,BT_TX-2440-3DH5-19_Power,BT_TX-2440-3DH5-19_DIFFPOWER,BT_TX-2480-3DH5-19_Power,BT_TX-2480-3DH5-19_DIFFPOWER,BT_TX-2402-1LE-20_Power,BT_TX-2440-1LE-20_Power,BT_TX-2480-1LE-20_Power,BT_TX-2402-2LE-20_Power,BT_TX-2440-2LE-20_Power,BT_TX-2480-2LE-20_Power
Upper Limit ----->,,,,,,,,,,,,,,,,,,,30,30,30,30,1,30,1,30,1,30,1,30,1,30,1,30,30,30,30,30,30
Lower Limit ----->,,,,,,,,,,,,,,,,,,,10,10,10,10,-4,10,-4,10,-4,10,-4,10,-4,10,-4,10,10,10,10,10,10
Measurement Unit ----->,,,,,,,,,,,,,,,,,,,dBm,dBm,dBm,dBm,dB,dBm,dB,dBm,dB,dBm,dB,dBm,dB,dBm,dB,dBm,dBm,dBm,dBm,dBm,dBm
ITJS,T11,KYW25CD00360006Z,Pre_Proto_1,T01a-Awa,,ITJS-D24F-SMT01-CWB-01,Pass,12/17/2025 4:36:01 PM,12/17/2025 4:38:32 PM,V1.0.3.7,,,V0.0.0,V0.0.0,,,,,20.32,19.97,19.51,16.17,0.07,15.92,0.07,15.83,0.08,16.09,0.05,15.87,0.06,15.78,0.06,20.04,19.7,19.25,20.16,19.83,19.38
ITJS,T11,KYW25CD00360006V,Pre_Proto_1,T01a-Awa,,ITJS-D24F-SMT01-CWB-02,Pass,12/17/2025 4:40:05 PM,12/17/2025 4:42:45 PM,V1.0.3.7,,,V0.0.0,V0.0.0,,,,,20.31,19.97,19.5,16.14,0.06,15.88,0.07,15.81,0.07,16.08,0.07,15.84,0.06,15.76,0.07,20.04,19.7,19.24,20.14,19.83,19.37
ITJS,T11,KYW25CD00360006W,Pre_Proto_1,T01a-Awa,,ITJS-D24F-SMT01-CWB-03,Pass,12/17/2025 4:47:39 PM,12/17/2025 4:50:08 PM,V1.0.3.7,,,V0.0.0,V0.0.0,,,,,20.32,19.95,19.48,16.05,0.07,15.77,0.06,15.67,0.06,16.79,0.08,16.53,0.08,15.66,0.07,20.06,19.7,19.22,20.18,19.83,19.35
ITJS,T11,KYW25CD00360006X,Pre_Proto_1,T02a-Awa,,ITJS-D24F-SMT01-CWB-04,Pass,12/17/2025 5:01:18 PM,12/17/2025 5:03:50 PM,V1.0.3.7,,,V0.0.0,V0.0.0,,,,,20.32,19.96,19.49,16.08,0.06,15.79,0.06,16.51,0.07,16.82,0.07,16.54,0.06,16.48,0.07,20.07,19.7,19.23,20.18,19.81,19.34
ITJS,T11,KYW25CD00360006Y,Pre_Proto_1,T01a-Awa,,ITJS-D24F-SMT01-CWB-05,Fail,12/17/2025 7:03:59 PM,12/17/2025 7:06:27 PM,V1.0.3.7,WIFI_RX-2412-HT20_MCS7--70,,V0.0.0,V0.0.0,,,,,20.34,19.99,19.54,16.06,0.06,15.78,0.06,15.8,0.07,16.02,0.07,15.75,0.07,15.76,0.08,20.09,19.74,19.29,20.21,19.84,19.41
ITJS,T11,KYW25CD00360006Y,Pre_Proto_1,T01a-Awa,,ITJS-D24F-SMT01-CWB-06,Fail,12/17/2025 7:10:08 PM,12/17/2025 7:12:38 PM,V1.0.3.7,WIFI_RX-2412-HT20_MCS7--70,,V0.0.0,V0.0.0,,,,,20.33,19.97,19.52,16.06,0.07,15.81,0.07,15.73,0.07,16.01,0.08,15.79,0.08,15.71,0.08,20.08,19.72,19.28,20.2,19.84,19.39
ITJS,T11,KYW25CD00360006Y,Pre_Proto_1,T01a-Awa,,ITJS-D24F-SMT01-CWB-01,Pass,12/17/2025 7:14:07 PM,12/17/2025 7:16:37 PM,V1.0.3.7,,,V0.0.0,V0.0.0,,,,,20.32,19.96,19.51,16.06,0.06,15.75,0.06,15.71,0.06,16.03,0.08,15.74,0.08,15.7,0.08,20.07,19.71,19.27,20.18,19.84,19.37
