Site,Produt,SerialNumber,Special Build Name,Special Build Description,Unit Number,Station ID,Test Pass/Fail Status,StartTime,EndTime,Version,List of Failing Tests,FW_Version,Covarage_Ver,Flow_Ver,Execute_Failure,UNIT_OUT_OF_PROCESS,TestTime,NEP_PASS,WIFI_RX-2412-HT20_MCS7--75_PER,WIFI_RX-2442-HT20_MCS7--75_PER,WIFI_RX-2472-HT20_MCS7--75_PER,WIFI_RX-5180-HT20_MCS7--73_PER,WIFI_RX-5260-HT20_MCS7--73_PER,WIFI_RX-5320-HT20_MCS7--73_PER,WIFI_RX-5500-HT20_MCS7--73_PER,WIFI_RX-5580-HT20_MCS7--73_PER,WIFI_RX-5600-HT20_MCS7--73_PER,WIFI_RX-5660-HT20_MCS7--73_PER,WIFI_RX-5700-HT20_MCS7--73_PER,WIFI_RX-5745-HT20_MCS7--73_PER,WIFI_RX-5785-HT20_MCS7--73_PER,WIFI_RX-5825-HT20_MCS7--73_PER,WIFI_RX-2412-CCK-11M--90_PER,WIFI_RX-2442-CCK-11M--90_PER,WIFI_RX-2472-CCK-11M--90_PER
Upper Limit ----->,,,,,,,,,,,,,,,,,,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Lower Limit ----->,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Measurement Unit ----->,,,,,,,,,,,,,,,,,,,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%
ITJS,T11,KYW25CD00360006Z,Pre_Proto_1,T01a-Awa,,ITJS-D24F-SMT01-CWB-01,Pass,12/17/2025 4:36:01 PM,12/17/2025 4:38:32 PM,V1.0.3.7,,,V0.0.0,V0.0.0,,,,,0,0,0.2,0.2,0,0.2,0.4,0.2,0.2,0.2,0.4,0.4,0.6,0.2,0.5,0,0
ITJS,T11,KYW25CD00360006V,Pre_Proto_1,T01a-Awa,,ITJS-D24F-SMT01-CWB-02,Pass,12/17/2025 4:40:05 PM,12/17/2025 4:42:45 PM,V1.0.3.7,,,V0.0.0,V0.0.0,,,,,0.2,0,0,0.2,0.2,0,0.4,0.4,0,0,0,0,0.2,0,0,0,0
ITJS,T11,KYW25CD00360006W,Pre_Proto_1,T01a-Awa,,ITJS-D24F-SMT01-CWB-03,Pass,12/17/2025 4:47:39 PM,12/17/2025 4:50:08 PM,V1.0.3.7,,,V0.0.0,V0.0.0,,,,,0.8,0,0,0,0.2,0,0,0.2,0.2,0,0,0,0,0.2,0,0,1
ITJS,T11,KYW25CD00360006X,Pre_Proto_1,T02a-Awa,,ITJS-D24F-SMT01-CWB-04,Pass,12/17/2025 5:01:18 PM,12/17/2025 5:03:50 PM,V1.0.3.7,,,V0.0.0,V0.0.0,,,,,0,0,0,0,0,0,0.2,0.2,0,0,0,0,0.2,0,0,0.5,0
ITJS,T11,KYW25CD00360006Y,Pre_Proto_1,T01a-Awa,,ITJS-D24F-SMT01-CWB-05,Fail,12/17/2025 7:03:59 PM,12/17/2025 7:06:27 PM,V1.0.3.7,WIFI_RX-2412-HT20_MCS7--70,,V0.0.0,V0.0.0,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0.5,0,0.5
ITJS,T11,KYW25CD00360006Y,Pre_Proto_1,T01a-Awa,,ITJS-D24F-SMT01-CWB-06,Fail,12/17/2025 7:10:08 PM,12/17/2025 7:12:38 PM,V1.0.3.7,WIFI_RX-2412-HT20_MCS7--70,,V0.0.0,V0.0.0,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0.5,0,0
ITJS,T11,KYW25CD00360006Y,Pre_Proto_1,T01a-Awa,,ITJS-D24F-SMT01-CWB-01,Pass,12/17/2025 7:14:07 PM,12/17/2025 7:16:37 PM,V1.0.3.7,,,V0.0.0,V0.0.0,,,,,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
