Site,Produt,SerialNumber,Special Build Name,Special Build Description,Unit Number,Station ID,Test Pass/Fail Status,StartTime,EndTime,Version,List of Failing Tests,FW_Version,Covarage_Ver,Flow_Ver,Execute_Failure,UNIT_OUT_OF_PROCESS,TestTime,NEP_PASS,WIFI_TX-2412-OFDM-54M-14_EVM,WIFI_TX-2442-OFDM-54M-14_EVM,WIFI_TX-2472-OFDM-54M-14_EVM,WIFI_TX-2412-HT20_MCS7-13_EVM,WIFI_TX-2442-HT20_MCS7-13_EVM,WIFI_TX-2472-HT20_MCS7-13_EVM,WIFI_TX-5180-HT20_MCS7-12_EVM,WIFI_TX-5260-HT20_MCS7-12_EVM,WIFI_TX-5320-HT20_MCS7-12_EVM,WIFI_TX-5500-HT20_MCS7-12_EVM,WIFI_TX-5580-HT20_MCS7-12_EVM,WIFI_TX-5600-HT20_MCS7-12_EVM,WIFI_TX-5660-HT20_MCS7-12_EVM,WIFI_TX-5700-HT20_MCS7-12_EVM,WIFI_TX-5745-HT20_MCS7-12_EVM,WIFI_TX-5785-HT20_MCS7-12_EVM,WIFI_TX-5825-HT20_MCS7-12_EVM,WIFI_TX-2412-CCK-11M-17_EVM,WIFI_TX-2442-CCK-11M-17_EVM,WIFI_TX-2472-CCK-11M-17_EVM
Upper Limit ----->,,,,,,,,,,,,,,,,,,,-25,-25,-25,-28,-28,-28,-28,-28,-28,-28,-28,-28,-28,-28,-28,-28,-28,0,0,0
Lower Limit ----->,,,,,,,,,,,,,,,,,,,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80
Measurement Unit ----->,,,,,,,,,,,,,,,,,,,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB
ITJS,T11,KYW25CD00360006Z,Pre_Proto_1,T01a-Awa,,ITJS-D24F-SMT01-CWB-01,Pass,12/17/2025 4:36:01 PM,12/17/2025 4:38:32 PM,V1.0.3.7,,,V0.0.0,V0.0.0,,,,,-35.12,-37.35,-37.87,-36.15,-37.32,-38.21,-26.54,-33.48,-34.71,-33.6,-32.58,-22.93,-29.68,-31.23,-30.58,-27.37,-33.3,-21.58,-21.74,-21.38
ITJS,T11,KYW25CD00360006V,Pre_Proto_1,T01a-Awa,,ITJS-D24F-SMT01-CWB-02,Pass,12/17/2025 4:40:05 PM,12/17/2025 4:42:45 PM,V1.0.3.7,,,V0.0.0,V0.0.0,,,,,-35.41,-33.81,-36.73,-25.48,-25.74,-24.55,-15.88,-33.44,-34.84,-32.64,-32.67,-31.34,-31.7,-32.07,-32.84,-23.89,-33.32,-21.52,-21.37,-21.32
ITJS,T11,KYW25CD00360006W,Pre_Proto_1,T01a-Awa,,ITJS-D24F-SMT01-CWB-03,Pass,12/17/2025 4:47:39 PM,12/17/2025 4:50:08 PM,V1.0.3.7,,,V0.0.0,V0.0.0,,,,,-35.39,-36.62,-36.76,-34.99,-37.54,-36.47,-14.65,-33.13,-34.47,-32.7,-33.01,-33.05,-32.02,-31.29,-31.94,-23.46,-33.01,-21.82,-21.51,-21.53
ITJS,T11,KYW25CD00360006X,Pre_Proto_1,T02a-Awa,,ITJS-D24F-SMT01-CWB-04,Pass,12/17/2025 5:01:18 PM,12/17/2025 5:03:50 PM,V1.0.3.7,,,V0.0.0,V0.0.0,,,,,-34.22,-36.22,-38.19,-25.08,-25.16,-23.71,-15.86,-33.3,-34.73,-32.43,-32.12,-32.08,-31.2,-31.1,-32.26,-31.71,-32.33,-21.77,-21.55,-21.74
ITJS,T11,KYW25CD00360006Y,Pre_Proto_1,T01a-Awa,,ITJS-D24F-SMT01-CWB-05,Fail,12/17/2025 7:03:59 PM,12/17/2025 7:06:27 PM,V1.0.3.7,WIFI_RX-2412-HT20_MCS7--70,,V0.0.0,V0.0.0,,,,,-35.23,-36.13,-38.15,-25.5,-25.64,-24.74,-26.8,-33.51,-34.6,-31.82,-31.59,-22.15,-30.83,-31.61,-32.15,-32.24,-32.64,-21.83,-21.55,-21.7
ITJS,T11,KYW25CD00360006Y,Pre_Proto_1,T01a-Awa,,ITJS-D24F-SMT01-CWB-06,Fail,12/17/2025 7:10:08 PM,12/17/2025 7:12:38 PM,V1.0.3.7,WIFI_RX-2412-HT20_MCS7--70,,V0.0.0,V0.0.0,,,,,-35.45,-35.7,-38.07,-22.12,-22.12,-22.3,-27.28,-33.09,-34.2,-32.46,-32.44,-32.89,-31.2,-31.55,-32.16,-31.92,-32.36,-21.59,-21.55,-21.66
ITJS,T11,KYW25CD00360006Y,Pre_Proto_1,T01a-Awa,,ITJS-D24F-SMT01-CWB-01,Pass,12/17/2025 7:14:07 PM,12/17/2025 7:16:37 PM,V1.0.3.7,,,V0.0.0,V0.0.0,,,,,-35.9,-35.69,-36.86,-33.99,-35.03,-35.65,-15.04,-33.58,-34.62,-32.52,-32.02,-31.44,-31.4,-31.43,-31.82,-31.4,-32.39,-21.77,-21.43,-21.7
ITJS,T11,KYW25CD00360006A,Pre_Proto_1,T01a-Awa,,ITJS-D24F-SMT01-CWB-02,Fail,12/17/2025 8:09:25 PM,12/17/2025 8:20:47 PM,V1.0.3.7,WIFI_TX-2412-OFDM-54M-14,,V0.0.0,V0.0.0,,,,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
ITJS,T11,KYW25CD00360006A,Pre_Proto_1,T01a-Awa,,ITJS-D24F-SMT01-CWB-03,Pass,12/17/2025 8:26:51 PM,12/17/2025 8:29:20 PM,V1.0.3.7,,,V0.0.0,V0.0.0,,,,,-35.56,-36.47,-37.67,-22.84,-22.88,-22.61,-16.53,-33.57,-34.72,-32.75,-32.37,-32.12,-31.7,-31.95,-32.58,-22.69,-33.21,-21.52,-21.69,-21.49
