Site,Produt,SerialNumber,Special Build Name,Special Build Description,Unit Number,Station ID,Test Pass/Fail Status,StartTime,EndTime,Version,List of Failing Tests,FW_Version,Covarage_Ver,Flow_Ver,Execute_Failure,UNIT_OUT_OF_PROCESS,TestTime,NEP_PASS,WIFI_TX-2412-OFDM-54M-14_Power,WIFI_TX-2442-OFDM-54M-14_Power,WIFI_TX-2472-OFDM-54M-14_Power,WIFI_TX-2412-HT20_MCS7-13_Power,WIFI_TX-2442-HT20_MCS7-13_Power,WIFI_TX-2472-HT20_MCS7-13_Power,WIFI_TX-5180-HT20_MCS7-12_Power,WIFI_TX-5260-HT20_MCS7-12_Power,WIFI_TX-5320-HT20_MCS7-12_Power,WIFI_TX-5500-HT20_MCS7-12_Power,WIFI_TX-5580-HT20_MCS7-12_Power,WIFI_TX-5600-HT20_MCS7-12_Power,WIFI_TX-5660-HT20_MCS7-12_Power,WIFI_TX-5700-HT20_MCS7-12_Power,WIFI_TX-5745-HT20_MCS7-12_Power,WIFI_TX-5785-HT20_MCS7-12_Power,WIFI_TX-5825-HT20_MCS7-12_Power,WIFI_TX-2412-CCK-11M-17_Power,WIFI_TX-2442-CCK-11M-17_Power,WIFI_TX-2472-CCK-11M-17_Power
Upper Limit ----->,,,,,,,,,,,,,,,,,,,16,16,16,15,15,15,14,14,14,14,14,14,14,14,14,14,14,19,19,19
Lower Limit ----->,,,,,,,,,,,,,,,,,,,12,12,12,11,11,11,10,10,10,10,10,10,10,10,10,10,10,15,15,15
Measurement Unit ----->,,,,,,,,,,,,,,,,,,,dBm,dBm,dBm,dBm,dBm,dBm,dBm,dBm,dBm,dBm,dBm,dBm,dBm,dBm,dBm,dBm,dBm,dBm,dBm,dBm
ITJS,T11,KYW25CD00360006Z,Pre_Proto_1,T01a-Awa,,ITJS-D24F-SMT01-CWB-01,Pass,12/17/2025 4:36:01 PM,12/17/2025 4:38:32 PM,V1.0.3.7,,,V0.0.0,V0.0.0,,,,,14.69,13.89,14.14,14.23,13.31,13.55,13.71,13.19,12.22,12.7,12.72,13.01,12.84,12.62,12.67,12.68,11.95,17.6,16.81,16.89
ITJS,T11,KYW25CD00360006V,Pre_Proto_1,T01a-Awa,,ITJS-D24F-SMT01-CWB-02,Pass,12/17/2025 4:40:05 PM,12/17/2025 4:42:45 PM,V1.0.3.7,,,V0.0.0,V0.0.0,,,,,14.62,13.84,13.8,14.05,13.31,13.62,14.17,13.19,12.42,13.03,12.87,12.94,12.96,12.79,12.79,12.8,12.01,17.79,17.01,17.09
ITJS,T11,KYW25CD00360006W,Pre_Proto_1,T01a-Awa,,ITJS-D24F-SMT01-CWB-03,Pass,12/17/2025 4:47:39 PM,12/17/2025 4:50:08 PM,V1.0.3.7,,,V0.0.0,V0.0.0,,,,,14.98,14.37,14.34,14.35,13.72,13.94,13.68,13.5,12.84,13.35,13.13,13.21,13.29,13.19,13.13,13.04,12.19,18.09,17.29,17.4
ITJS,T11,KYW25CD00360006X,Pre_Proto_1,T02a-Awa,,ITJS-D24F-SMT01-CWB-04,Pass,12/17/2025 5:01:18 PM,12/17/2025 5:03:50 PM,V1.0.3.7,,,V0.0.0,V0.0.0,,,,,15.19,14.42,14.49,14.61,14.07,14.17,14.31,13.4,12.82,13.32,13.36,13.39,13.64,13.39,13.08,13.29,12.39,17.86,17.32,17.41
ITJS,T11,KYW25CD00360006Y,Pre_Proto_1,T01a-Awa,,ITJS-D24F-SMT01-CWB-05,Fail,12/17/2025 7:03:59 PM,12/17/2025 7:06:27 PM,V1.0.3.7,WIFI_RX-2412-HT20_MCS7--70,,V0.0.0,V0.0.0,,,,,15.23,14.4,14.5,14.64,13.86,14.15,13.99,13.51,12.93,13.39,13.43,13.25,13.69,13.44,13,13.43,12.16,17.89,17.1,17.21
ITJS,T11,KYW25CD00360006Y,Pre_Proto_1,T01a-Awa,,ITJS-D24F-SMT01-CWB-06,Fail,12/17/2025 7:10:08 PM,12/17/2025 7:12:38 PM,V1.0.3.7,WIFI_RX-2412-HT20_MCS7--70,,V0.0.0,V0.0.0,,,,,15.1,14.54,14.37,14.76,13.91,13.88,14.12,13.45,12.68,13.24,13.18,13.5,13.52,13.38,13.07,13.47,12.46,17.87,17.31,17.2
ITJS,T11,KYW25CD00360006Y,Pre_Proto_1,T01a-Awa,,ITJS-D24F-SMT01-CWB-01,Pass,12/17/2025 7:14:07 PM,12/17/2025 7:16:37 PM,V1.0.3.7,,,V0.0.0,V0.0.0,,,,,15.24,14.55,14.29,14.6,13.99,14.02,14.42,13.45,12.81,13.34,13.34,13.63,13.57,13.47,13.23,13.47,12.45,17.89,17.08,17.2
